gene_id	product	protein_id
4467	IUM83_19517	Gag-pol Polyprotein	KAG6619105.1
4468	IUM83_19518	retrovirus-related pol polyprotein	KAG6619108.1
4469	IUM83_19519	putative integrase	KAG6619109.1
4470	IUM83_19520	Gag-Pol polyprotein	KAG6619099.1
4471	IUM83_19798	nuclear transcription factor Y subunit beta	KAG6572681.1
4472	IUM83_19799	cytochrome c oxidase assembly protein COX11, mitochondrial precursor	KAG6572680.1
4473	IUM83_19800	hypothetical protein	KAG6572667.1
4474	IUM83_19801	hypothetical protein	KAG6572668.1
4475	IUM83_19802	60S ribosomal protein L32-1	KAG6572669.1
4476	IUM83_19803	Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4	KAG6572670.1
4477	IUM83_19804	Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4	KAG6572671.1
4478	IUM83_19805	Dymeclin	KAG6572684.1
4479	IUM83_19806	Spermidine synthase	KAG6572672.1
4480	IUM83_19807	u1 small nuclear ribonucleoprotein c	KAG6572683.1
4481	IUM83_19808	Target SNARE coiled-coil domain	KAG6572665.1
4482	IUM83_19809	Homeobox protein Wariai	KAG6572666.1
4483	IUM83_19810	Testis-expressed sequence 9 protein	KAG6572677.1
4484	IUM83_19811	putative secreted RxLR effector protein	KAG6572682.1
4485	IUM83_19812	Release factor glutamine methyltransferase	KAG6572676.1
4486	IUM83_19813	Respiratory burst oxidase	KAG6572674.1
4487	IUM83_19814	reverse transcriptase	KAG6572679.1
4488	IUM83_19815	reverse transcriptase	KAG6572678.1
4489	IUM83_17612	hypothetical protein	KAG6572565.1
4490	IUM83_17613	hypothetical protein	KAG6572574.1
4491	IUM83_17614	importin-like protein	KAG6572609.1
4492	IUM83_17615	Pol protein	KAG6572627.1
4493	IUM83_17616	Integrase, catalytic core protein	KAG6572575.1
4494	IUM83_17617	ABC transporter G family member 31	KAG6572566.1
4495	IUM83_17618	Tetratricopeptide-like helical	KAG6572626.1
4496	IUM83_17619	hypothetical protein	KAG6572625.1
4497	IUM83_17620	hypothetical protein	KAG6572578.1
4498	IUM83_17621	rab-like protein 5-like	KAG6572622.1
4499	IUM83_17622	WRKY transcription factor 19	KAG6572576.1
4500	IUM83_17623	hypothetical protein	KAG6572577.1
4501	IUM83_17624	40S ribosomal protein S8	KAG6572636.1
4502	IUM83_17625	CCT domain	KAG6572580.1
4503	IUM83_17626	DNA primase	KAG6572623.1
4504	IUM83_17627	E3 ubiquitin-protein ligase TTC3	KAG6572579.1
4505	IUM83_17628	E3 ubiquitin-protein ligase TTC3	KAG6572581.1
4506	IUM83_17629	hypothetical protein	KAG6572582.1
4507	IUM83_17630	hypothetical protein	KAG6572572.1
4508	IUM83_17631	hypothetical protein	KAG6572633.1
4509	IUM83_17632	hypothetical protein	KAG6572635.1
4510	IUM83_17633	hypothetical protein	KAG6572634.1
4511	IUM83_17634	hypothetical protein	KAG6572630.1
4512	IUM83_17635	hypothetical protein	KAG6572629.1
4513	IUM83_17636	hypothetical protein	KAG6572632.1
4514	IUM83_17637	hypothetical protein	KAG6572631.1
4515	IUM83_17638	hypothetical protein	KAG6572628.1
4516	IUM83_17639	hypothetical protein	KAG6572571.1
4517	IUM83_17640	hypothetical protein	KAG6572586.1
4518	IUM83_17641	hypothetical protein	KAG6572587.1
4519	IUM83_17642	hypothetical protein	KAG6572588.1
4520	IUM83_17643	hypothetical protein	KAG6572589.1
4521	IUM83_17644	hypothetical protein	KAG6572583.1
4522	IUM83_17645	hypothetical protein	KAG6572584.1
4523	IUM83_17646	putative polyprotein	KAG6572608.1
4524	IUM83_17647	Glycosyltransferase AER61, uncharacterized	KAG6572585.1
4525	IUM83_17648	hypothetical protein	KAG6572590.1
4526	IUM83_17649	hypothetical protein	KAG6572591.1
4527	IUM83_17650	hypothetical protein	KAG6572570.1
4528	IUM83_17651	reverse transcriptase	KAG6572643.1
4529	IUM83_17652	hypothetical protein	KAG6572642.1
4530	IUM83_17653	hypothetical protein	KAG6572641.1
4531	IUM83_17654	hypothetical protein	KAG6572640.1
4532	IUM83_17655	hypothetical protein	KAG6572639.1
4533	IUM83_17656	hypothetical protein	KAG6572638.1
4534	IUM83_17657	hypothetical protein	KAG6572637.1
4535	IUM83_17658	hypothetical protein	KAG6572644.1
4536	IUM83_17659	hypothetical protein	KAG6572573.1
4537	IUM83_17660	Pol protein	KAG6572598.1
4538	IUM83_17661	Pol Polyprotein	KAG6572624.1
4539	IUM83_17662	Integrase catalytic core protein	KAG6572596.1
4540	IUM83_17663	hypothetical protein	KAG6572597.1
4541	IUM83_17664	hypothetical protein	KAG6572567.1
4542	IUM83_17665	hypothetical protein	KAG6572595.1
4543	IUM83_17666	hypothetical protein	KAG6572599.1
4544	IUM83_17667	hypothetical protein	KAG6572594.1
4545	IUM83_17668	Molybdopterin synthase catalytic subunit	KAG6572592.1
4546	IUM83_17669	hypothetical protein	KAG6572593.1
4547	IUM83_17670	mannan endo-1	KAG6572648.1
4548	IUM83_17671	putative secreted RxLR effector protein	KAG6572647.1
4549	IUM83_17672	hypothetical protein	KAG6572618.1
4550	IUM83_17673	mannan endo-1	KAG6572617.1
4551	IUM83_17674	GrxB family glutaredoxin	KAG6572650.1
4552	IUM83_17675	GrxB family glutaredoxin	KAG6572649.1
4553	IUM83_17676	Ankyrin repeat domain-containing protein 50	KAG6572620.1
4554	IUM83_17677	putative aquaporin	KAG6572619.1
4555	IUM83_17678	putative aquaporin	KAG6572646.1
4556	IUM83_17679	putative aquaporin	KAG6572645.1
4557	IUM83_17680	putative aquaporin	KAG6572600.1
4558	IUM83_17681	putative aquaporin	KAG6572601.1
4559	IUM83_17682	putative aquaporin	KAG6572602.1
4560	IUM83_17683	putative aquaporin	KAG6572603.1
4561	IUM83_17684	putative aquaporin	KAG6572563.1
4562	IUM83_17685	putative aquaporin	KAG6572604.1
4563	IUM83_17686	putative aquaporin	KAG6572605.1
4564	IUM83_17687	putative aquaporin	KAG6572562.1
4565	IUM83_17688	putative aquaporin	KAG6572606.1
4566	IUM83_17689	putative aquaporin	KAG6572607.1
4567	IUM83_17690	putative aquaporin	KAG6572656.1
4568	IUM83_17691	putative aquaporin	KAG6572655.1
4569	IUM83_17692	WD repeat-containing protein 54	KAG6572653.1
4570	IUM83_17693	putative aquaporin	KAG6572651.1
4571	IUM83_17694	WD repeat-containing protein 54	KAG6572662.1
4572	IUM83_17695	rRNA processing protein RRP7	KAG6572660.1
4573	IUM83_17696	GrxB family glutaredoxin	KAG6572659.1
4574	IUM83_17697	hypothetical protein	KAG6572658.1
4575	IUM83_17698	Microtubule -associated protein EB1	KAG6572664.1
4576	IUM83_17699	TTK protein kinase	KAG6572663.1
4577	IUM83_17700	putative aquaporin	KAG6572568.1
4578	IUM83_17701	hypothetical protein	KAG6572610.1
4579	IUM83_17702	Replication protein A 70 kDa DNA-binding subunit	KAG6572612.1
4580	IUM83_17703	hypothetical protein	KAG6572611.1
4581	IUM83_17704	hypothetical protein	KAG6572569.1
4582	IUM83_17705	ABC transporter B family member 2	KAG6572613.1
4583	IUM83_17706	multidrug resistance protein ABC superfamily	KAG6572621.1
4584	IUM83_17707	putative secreted RxLR effector protein	KAG6572614.1
4585	IUM83_17708	putative alcohol dehydrogenase	KAG6572616.1
4586	IUM83_17709	hypothetical protein	KAG6572615.1
4587	IUM83_18947	hypothetical protein	KAG6572538.1
4588	IUM83_18948	Rhamnogalacturonate lyase A	KAG6572539.1
4589	IUM83_18949	glutamate decarboxylase	KAG6572540.1
4590	IUM83_18950	Amino acid/polyamine transporter	KAG6572503.1
4591	IUM83_18951	hypothetical protein	KAG6572502.1
4592	IUM83_18952	Mutatorlike Transposase	KAG6572505.1
4593	IUM83_18953	Peroxiredoxin-4	KAG6572504.1
4594	IUM83_18954	peroxiredoxin-4	KAG6572507.1
4595	IUM83_18955	putative secreted RxLR effector protein	KAG6572506.1
4596	IUM83_18956	putative secreted RxLR effector protein	KAG6572509.1
4597	IUM83_18957	voltage-gated potassium channel subunit beta	KAG6572508.1
4598	IUM83_18958	RNA binding protein	KAG6572511.1
4599	IUM83_18959	putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase 110 kDa subunit	KAG6572510.1
4600	IUM83_18960	Histone-lysine N-methyltransferase	KAG6572534.1
4601	IUM83_18961	putative nuclear cap-binding protein subunit	KAG6572535.1
4602	IUM83_18962	Major Facilitator Superfamily (MFS)	KAG6572536.1
4603	IUM83_18963	nuclear autoantigenic sperm	KAG6572537.1
4604	IUM83_18964	vesicle-associated membrane protein 7b	KAG6572530.1
4605	IUM83_18965	NADP-dependent oxidoreductase domain	KAG6572531.1
4606	IUM83_18966	putative oxidoreductase C19A8.06	KAG6572532.1
4607	IUM83_18967	Mannitol dehydrogenase	KAG6572533.1
4608	IUM83_18968	Copine-like protein	KAG6572528.1
4609	IUM83_18969	Sulfate Permease (SulP) Family	KAG6572529.1
4610	IUM83_18970	A-kinase anchor protein 7 isoforms delta and gamma-like	KAG6572501.1
4611	IUM83_18971	putative oxidoreductase C19A8.06	KAG6572499.1
4612	IUM83_18972	YIPF6-like protein	KAG6572498.1
4613	IUM83_18973	Methionine-tRNA ligase, beta subunit	KAG6572547.1
4614	IUM83_18974	Condensin-2 complex subunit D3	KAG6572497.1
4615	IUM83_18975	hypothetical protein	KAG6572546.1
4616	IUM83_18976	aureochrome1-like protein	KAG6572496.1
4617	IUM83_18977	NLRC3 protein	KAG6572495.1
4618	IUM83_18978	hypothetical protein	KAG6572494.1
4619	IUM83_18979	hypothetical protein	KAG6572493.1
4620	IUM83_18980	NLRC3 protein	KAG6572523.1
4621	IUM83_18981	WD repeat-containing protein mio	KAG6572551.1
4622	IUM83_18982	putative lipase	KAG6572522.1
4623	IUM83_18983	histone demethylase	KAG6572548.1
4624	IUM83_18984	GroEL-like equatorial domain	KAG6572549.1
4625	IUM83_18985	Peroxisome biogenesis protein 22	KAG6572550.1
4626	IUM83_18986	trafficking protein particle complex subunit 6B	KAG6572524.1
4627	IUM83_18987	Aspartate beta-hydroxylase domain-containing protein 2	KAG6572525.1
4628	IUM83_18988	Transcription initiation factor IID, 18kDa subunit	KAG6572526.1
4629	IUM83_18989	1-phosphatidylinositol 3-phosphate 5-kinase	KAG6572527.1
4630	IUM83_18990	hypothetical protein	KAG6572559.1
4631	IUM83_18991	hypothetical protein	KAG6572558.1
4632	IUM83_18992	YggS family pyridoxal phosphate enzyme	KAG6572561.1
4633	IUM83_18993	60s ribosomal protein l21-1	KAG6572560.1
4634	IUM83_18994	60S ribosomal protein L21-1	KAG6572555.1
4635	IUM83_18995	putative pre-mRNA polyadenylation factor	KAG6572554.1
4636	IUM83_18996	putative ATPase (PP-loop superfamily)	KAG6572557.1
4637	IUM83_18997	putative ATPase (PP-loop superfamily)	KAG6572556.1
4638	IUM83_18998	arf guanine-nucleotide exchange factor gnom-like	KAG6572553.1
4639	IUM83_18999	Lysosomal thioesterase PPT2-A	KAG6572552.1
4640	IUM83_19000	Acidic chitinase	KAG6572512.1
4641	IUM83_19001	Endochitinase 1	KAG6572513.1
4642	IUM83_19002	hypothetical protein	KAG6572514.1
4643	IUM83_19003	Hsc70 cochaperone	KAG6572515.1
4644	IUM83_19004	Mitochondrial glycoprotein	KAG6572516.1
4645	IUM83_19005	putative N2,N2-dimethylguanosine tRNA methyltransferase	KAG6572517.1
4646	IUM83_19006	hypothetical protein	KAG6572518.1
4647	IUM83_19007	hypothetical protein	KAG6572519.1
4648	IUM83_19008	reverse transcriptase	KAG6572520.1
4649	IUM83_19009	putative endo-1,3-beta-glucanase	KAG6572521.1
4650	IUM83_19010	putative isoamyl acetate-hydrolyzing esterase	KAG6572544.1
4651	IUM83_19011	phospholipase D, Pi-PLD-like-1	KAG6572543.1
4652	IUM83_19012	GDSL esterase/lipase	KAG6572542.1
4653	IUM83_19013	PhosphoLipase D, Pi-PLD-like-1	KAG6572541.1
4654	IUM83_01045	putative secreted RxLR effector protein	KAG6618387.1
4655	IUM83_01046	Catalase/peroxidase HPI	KAG6618772.1
4656	IUM83_01047	hypothetical protein	KAG6618409.1
4657	IUM83_01048	hypothetical protein	KAG6618773.1
4658	IUM83_01049	hypothetical protein	KAG6618410.1
4659	IUM83_01050	hypothetical protein	KAG6618507.1
4660	IUM83_01051	hypothetical protein	KAG6618446.1
4661	IUM83_01052	Protein kinase	KAG6618494.1
4662	IUM83_01053	hypothetical protein	KAG6618451.1
4663	IUM83_01054	M96 mating-specific protein family	KAG6618444.1
4664	IUM83_01055	Acyl-CoA desaturase	KAG6618445.1
4665	IUM83_01056	hypothetical protein	KAG6618442.1
4666	IUM83_01057	ADP-ribosylation factor family	KAG6618443.1
4667	IUM83_01058	hypothetical protein	KAG6618447.1
4668	IUM83_01059	NAD(P)H:quinone oxidoreductase, type IV	KAG6618448.1
4669	IUM83_01060	hypothetical protein	KAG6618832.1
4670	IUM83_01061	hypothetical protein	KAG6618733.1
4671	IUM83_01062	hypothetical protein	KAG6618964.1
4672	IUM83_01063	hypothetical protein	KAG6618457.1
4673	IUM83_01064	Myb domain-contaning protein	KAG6618353.1
4674	IUM83_01065	hypothetical protein	KAG6618831.1
4675	IUM83_01066	hypothetical protein	KAG6618830.1
4676	IUM83_01067	hypothetical protein	KAG6618963.1
4677	IUM83_01068	Major facilitator Superfamily	KAG6618732.1
4678	IUM83_01069	Major facilitator Superfamily	KAG6618731.1
4679	IUM83_01070	Major Facilitator Superfamily	KAG6618339.1
4680	IUM83_01071	Major Facilitator Superfamily	KAG6618626.1
4681	IUM83_01072	Major facilitator Superfamily	KAG6618340.1
4682	IUM83_01073	putative cation-transporting ATPase 13A3	KAG6618628.1
4683	IUM83_01074	hypothetical protein	KAG6618418.1
4684	IUM83_01075	hypothetical protein	KAG6618338.1
4685	IUM83_01076	putative C2 domain-containing protein	KAG6618485.1
4686	IUM83_01077	hypothetical protein	KAG6618486.1
4687	IUM83_01078	putative C2 domain-containing protein	KAG6618416.1
4688	IUM83_01079	necrosis inducing-like protein NPP1 type	KAG6618417.1
4689	IUM83_01080	hypothetical protein	KAG6618647.1
4690	IUM83_01081	Transmembrane protein	KAG6618646.1
4691	IUM83_01082	necrosis inducing-like protein NPP1 type	KAG6618648.1
4692	IUM83_01083	hypothetical protein	KAG6618916.1
4693	IUM83_01084	helitron helicase-like protein	KAG6618915.1
4694	IUM83_01085	helitron helicase-like protein	KAG6618643.1
4695	IUM83_01086	hypothetical protein	KAG6618645.1
4696	IUM83_01087	hypothetical protein	KAG6618644.1
4697	IUM83_01088	TKL protein kinase	KAG6618642.1
4698	IUM83_01089	Chromosome transmission fidelity protein 8	KAG6618914.1
4699	IUM83_01090	necrosis inducing-like protein NPP1 type	KAG6618986.1
4700	IUM83_01091	Eukaryotic peptide chain release factor GTP-binding subunit	KAG6618983.1
4701	IUM83_01092	hypothetical protein	KAG6618982.1
4702	IUM83_01093	necrosis inducing-like protein NPP1 type	KAG6618985.1
4703	IUM83_01094	hypothetical protein	KAG6618989.1
4704	IUM83_01095	hypothetical protein	KAG6618984.1
4705	IUM83_01096	hypothetical protein	KAG6618987.1
4706	IUM83_01097	putative C2 domain-containing protein	KAG6618988.1
4707	IUM83_01098	putative C2 domain-containing protein	KAG6618990.1
4708	IUM83_01099	putative C2 domain-containing protein	KAG6618303.1
4709	IUM83_01100	hypothetical protein	KAG6618823.1
4710	IUM83_01101	Transmembrane protein	KAG6618895.1
4711	IUM83_01102	putative transmembrane protein	KAG6618896.1
4712	IUM83_01103	hypothetical protein	KAG6618389.1
4713	IUM83_01104	SUMO-activating enzyme (SAE)	KAG6618892.1
4714	IUM83_01105	putative histone tail methylase containing SET domain	KAG6618893.1
4715	IUM83_01106	Calcium-dependent protein 4	KAG6618894.1
4716	IUM83_01107	putative histone tail methylase containing SET domain	KAG6618593.1
4717	IUM83_01108	Calcium-dependent protein 4	KAG6618388.1
4718	IUM83_01109	putative peptidase	KAG6618891.1
4719	IUM83_01110	Chitin-binding protein	KAG6618513.1
4720	IUM83_01111	Chitin-binding protein	KAG6618539.1
4721	IUM83_01112	Chitin-binding protein	KAG6618538.1
4722	IUM83_01113	Actin cross-linking	KAG6618977.1
4723	IUM83_01114	S-M checkpoint control protein CID1	KAG6618536.1
4724	IUM83_01115	S-M checkpoint control protein CID1	KAG6618535.1
4725	IUM83_01116	PDZ domain	KAG6618319.1
4726	IUM83_01117	Ubiquitin family protein	KAG6618534.1
4727	IUM83_01118	hypothetical protein	KAG6618317.1
4728	IUM83_01119	hypothetical protein	KAG6618533.1
4729	IUM83_01120	hypothetical protein	KAG6618789.1
4730	IUM83_01121	protease inhibitor Epi7	KAG6618467.1
4731	IUM83_01122	Elastase inhibitor	KAG6618540.1
4732	IUM83_01123	Proton-dependent Oligopeptide transporter (POT) Family	KAG6618541.1
4733	IUM83_01124	diphthine synthase	KAG6618918.1
4734	IUM83_01125	Proton-dependent Oligopeptide transporter (POT) Family	KAG6618919.1
4735	IUM83_01126	Proton-dependent Oligopeptide Transporter (POT) Family	KAG6618788.1
4736	IUM83_01127	subtilisin serine protease	KAG6618917.1
4737	IUM83_01128	Crinkler (CRN)	KAG6618920.1
4738	IUM83_01129	hypothetical protein	KAG6618542.1
4739	IUM83_01130	Replication factor C subunit 5	KAG6618458.1
4740	IUM83_01131	hypothetical protein	KAG6618571.1
4741	IUM83_01132	N-alpha-acetyltransferase 30	KAG6618465.1
4742	IUM83_01133	chaperone DnaK	KAG6618464.1
4743	IUM83_01134	hypothetical protein	KAG6618573.1
4744	IUM83_01135	hypothetical protein	KAG6618572.1
4745	IUM83_01136	Calcium-activated potassium channel subunit alpha-1	KAG6618697.1
4746	IUM83_01137	Calcium-activated potassium channel subunit alpha-1	KAG6618468.1
4747	IUM83_01138	putative ubiquitin-specific protease	KAG6618574.1
4748	IUM83_01139	putative epoxide hydrolase	KAG6618469.1
4749	IUM83_01140	Bifunctional epoxide hydrolase 2	KAG6618305.1
4750	IUM83_01141	putative glu/Leu/Phe/Val dehydrogenase family	KAG6618791.1
4751	IUM83_01142	Bifunctional epoxide hydrolase 2	KAG6618824.1
4752	IUM83_01143	hypothetical protein	KAG6618792.1
4753	IUM83_01144	Chitin-binding protein	KAG6618799.1
4754	IUM83_01145	hypothetical protein	KAG6618800.1
4755	IUM83_01146	Chitin-binding protein	KAG6618826.1
4756	IUM83_01147	Chitin-binding protein	KAG6618316.1
4757	IUM83_01148	Chitin-binding protein	KAG6618769.1
4758	IUM83_01149	hypothetical protein	KAG6618770.1
4759	IUM83_01150	hypothetical protein	KAG6618767.1
4760	IUM83_01151	hypothetical protein	KAG6618748.1
4761	IUM83_01152	hypothetical protein	KAG6618472.1
4762	IUM83_01153	hypothetical protein	KAG6618473.1
4763	IUM83_01154	hypothetical protein	KAG6618774.1
4764	IUM83_01155	Calcineurin-binding protein cabin-1	KAG6618476.1
4765	IUM83_01156	Phosphoenolpyruvate carboxykinase	KAG6618481.1
4766	IUM83_01157	hypothetical protein	KAG6618474.1
4767	IUM83_01158	Pre-mRNA-splicing factor CLF1	KAG6618490.1
4768	IUM83_01159	phospholipid-diacylglycerol acyltransferase plh1	KAG6618934.1
4769	IUM83_01160	chaperonin GroL	KAG6618855.1
4770	IUM83_01161	Amino Acid-Polyamine-Organocation (APC) Family	KAG6618856.1
4771	IUM83_01162	UVR domain	KAG6618850.1
4772	IUM83_01163	putative secreted RxLR effector protein	KAG6618854.1
4773	IUM83_01164	Pleiotropic drug resistance protein ABC Superfamily	KAG6618940.1
4774	IUM83_01165	ATP-binding Cassette (ABC) Superfamily	KAG6618941.1
4775	IUM83_01166	ATP-binding Cassette (ABC) Superfamily	KAG6618674.1
4776	IUM83_01167	ATP-binding Cassette (ABC) Superfamily	KAG6618938.1
4777	IUM83_01168	pleiotropic drug resistance protein ABC superfamily	KAG6618853.1
4778	IUM83_01169	pleiotropic drug resistance protein ABC superfamily	KAG6618936.1
4779	IUM83_01170	ATP-binding Cassette (ABC) Superfamily	KAG6618511.1
4780	IUM83_01171	pleiotropic drug resistance protein ABC superfamily	KAG6618510.1
4781	IUM83_01172	pleiotropic drug resistance protein ABC superfamily	KAG6618690.1
4782	IUM83_01173	hypothetical protein	KAG6618415.1
4783	IUM83_01174	Pre-mRNA-splicing factor 38A	KAG6618449.1
4784	IUM83_01175	RxLR effector protein	KAG6618508.1
4785	IUM83_01176	Glycoside hydrolase	KAG6618450.1
4786	IUM83_01177	hypothetical protein	KAG6618509.1
4787	IUM83_01178	necrosis inducing-like protein NPP1 type	KAG6618459.1
4788	IUM83_01179	RxLR effector protein	KAG6618834.1
4789	IUM83_01180	ATP-binding cassette (ABC) Superfamily	KAG6618781.1
4790	IUM83_01181	reverse transcriptase	KAG6618782.1
4791	IUM83_01182	putative membrane protein	KAG6618484.1
4792	IUM83_01183	Integrase, catalytic core protein	KAG6618783.1
4793	IUM83_01184	Pleiotropic drug resistance protein ABC Superfamily	KAG6618483.1
4794	IUM83_01185	hypothetical protein	KAG6618676.1
4795	IUM83_01186	Pleiotropic drug resistance protein transporter	KAG6618870.1
4796	IUM83_01187	mitochondrial protein	KAG6618780.1
4797	IUM83_01188	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	KAG6618488.1
4798	IUM83_01189	hypothetical protein	KAG6618489.1
4799	IUM83_01190	Chromatin modification-related protein EAF3	KAG6618435.1
4800	IUM83_01191	Chromatin modification-related protein EAF3	KAG6618408.1
4801	IUM83_01192	Zinc ion binding protein	KAG6618630.1
4802	IUM83_01193	DUF4091 domain-containing protein	KAG6618407.1
4803	IUM83_01194	DUF866 domain-containing protein	KAG6618548.1
4804	IUM83_01195	Intraflagellar transport protein 43	KAG6618431.1
4805	IUM83_01196	RxLR effector protein	KAG6618430.1
4806	IUM83_01197	Serine/threonine protein Kinase	KAG6618797.1
4807	IUM83_01198	cellulase (glycosyl hydrolase family 5) subfamily protein	KAG6618570.1
4808	IUM83_01199	Chromatin modification-related protein EAF3	KAG6618438.1
4809	IUM83_01200	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	KAG6618869.1
4810	IUM83_01201	saccharopine dehydrogenase	KAG6618402.1
4811	IUM83_01202	DnaJ subfamily C member 7	KAG6618401.1
4812	IUM83_01203	RRP15 protein	KAG6618400.1
4813	IUM83_01204	TKL protein kinase	KAG6618399.1
4814	IUM83_01205	Transposase	KAG6618397.1
4815	IUM83_01206	hypothetical protein	KAG6618386.1
4816	IUM83_01207	TKL protein kinase	KAG6618396.1
4817	IUM83_01208	TKL protein kinase	KAG6618404.1
4818	IUM83_01209	Transmembrane protein	KAG6618403.1
4819	IUM83_01210	hypothetical protein	KAG6618760.1
4820	IUM83_01211	papain-like cysteine protease C1	KAG6618761.1
4821	IUM83_01212	E3 ubiquitin ligase	KAG6618762.1
4822	IUM83_01213	Ferredoxin-dependent glutamate synthase	KAG6618764.1
4823	IUM83_01214	hypothetical protein	KAG6618755.1
4824	IUM83_01215	putative ferredoxin-dependent glutamate synthase	KAG6618756.1
4825	IUM83_01216	putative transmembrane protein	KAG6618758.1
4826	IUM83_01217	putative transmembrane protein	KAG6618759.1
4827	IUM83_01218	TKL protein kinase	KAG6618765.1
4828	IUM83_01219	TKL protein kinase	KAG6618766.1
4829	IUM83_01220	Catalase/peroxidase HPI	KAG6618411.1
4830	IUM83_01221	TKL protein kinase	KAG6618821.1
4831	IUM83_01222	Catalase/peroxidase HPI	KAG6618828.1
4832	IUM83_01223	TKL protein kinase	KAG6618439.1
4833	IUM83_01224	Catalase/peroxidase HPI	KAG6618829.1
4834	IUM83_01225	hypothetical protein	KAG6618978.1
4835	IUM83_01226	putative crinkler (CRN) family protein	KAG6618414.1
4836	IUM83_01227	M96 mating-specific protein family	KAG6618412.1
4837	IUM83_01228	hypothetical protein	KAG6618943.1
4838	IUM83_01229	M96 mating-specific protein family	KAG6618818.1
4839	IUM83_01230	TKL protein kinase	KAG6618787.1
4840	IUM83_01231	Cytochrome c oxidase subunit 6B	KAG6618492.1
4841	IUM83_01232	queuine tRNA-ribosyltransferase	KAG6618597.1
4842	IUM83_01233	hsftype dnabinding protein	KAG6618868.1
4843	IUM83_01234	hypothetical protein	KAG6618470.1
4844	IUM83_01235	WD40 repeat-containing protein L2DTL	KAG6618594.1
4845	IUM83_01236	Acetylornithine aminotransferase, mitochondrial precursor	KAG6618786.1
4846	IUM83_01237	Myosin protein	KAG6618491.1
4847	IUM83_01238	hypothetical protein	KAG6618784.1
4848	IUM83_01239	Macro domain-containing protein	KAG6618785.1
4849	IUM83_01240	putative pre-mRNA-splicing factor cwc2	KAG6618360.1
4850	IUM83_01241	ABC transporter	KAG6618359.1
4851	IUM83_01242	Macro domain-containing protein	KAG6618358.1
4852	IUM83_01243	Macro domain-containing protein	KAG6618354.1
4853	IUM83_01244	hypothetical protein	KAG6618705.1
4854	IUM83_01245	hypothetical protein	KAG6618466.1
4855	IUM83_01246	hypothetical protein	KAG6618675.1
4856	IUM83_01247	reverse transcriptase	KAG6618361.1
4857	IUM83_01248	reverse transcriptase	KAG6618357.1
4858	IUM83_01249	hypothetical protein	KAG6618356.1
4859	IUM83_01250	MtN3-like protein	KAG6618729.1
4860	IUM83_01251	Bidirectional sugar transporter SWEET17	KAG6618580.1
4861	IUM83_01252	hypothetical protein	KAG6618700.1
4862	IUM83_01253	hypothetical protein	KAG6618701.1
4863	IUM83_01254	MtN3-like protein	KAG6618590.1
4864	IUM83_01255	Bidirectional sugar transporter SWEET17	KAG6618591.1
4865	IUM83_01256	hypothetical protein	KAG6618702.1
4866	IUM83_01257	MtN3-like protein	KAG6618703.1
4867	IUM83_01258	Bidirectional sugar transporter SWEET17	KAG6618698.1
4868	IUM83_01259	Beta-elicitin DRE-beta	KAG6618699.1
4869	IUM83_01260	hypothetical protein	KAG6618383.1
4870	IUM83_01261	TKL protein kinase	KAG6618520.1
4871	IUM83_01262	TKL protein kinase	KAG6618385.1
4872	IUM83_01263	TKL protein kinase	KAG6618384.1
4873	IUM83_01264	hypothetical protein	KAG6618380.1
4874	IUM83_01265	TKL protein kinase	KAG6618379.1
4875	IUM83_01266	hypothetical protein	KAG6618382.1
4876	IUM83_01267	TKL protein kinase	KAG6618381.1
4877	IUM83_01268	hypothetical protein	KAG6618378.1
4878	IUM83_01269	Charged multivesicular body protein 2a	KAG6618377.1
4879	IUM83_01270	Charged multivesicular body protein 2a	KAG6618719.1
4880	IUM83_01271	putative dynein light chain type 1	KAG6618720.1
4881	IUM83_01272	Cytochrome P450 86A2	KAG6618717.1
4882	IUM83_01273	RxLR-like protein	KAG6618718.1
4883	IUM83_01274	hypothetical protein	KAG6618723.1
4884	IUM83_01275	Amino Acid-Polyamine-Organocation (APC) Family	KAG6618724.1
4885	IUM83_01276	Hismacro and SEC14 domain-containing protein	KAG6618721.1
4886	IUM83_01277	Bacterial PH-like domain	KAG6618722.1
4887	IUM83_01278	M96 mating-specific protein family	KAG6618726.1
4888	IUM83_01279	Cytochrome P450 86A2	KAG6618727.1
4889	IUM83_01280	M96 mating-specific protein family	KAG6618365.1
4890	IUM83_01281	5'-3' exoribonuclease 1	KAG6618819.1
4891	IUM83_01282	hypothetical protein	KAG6618517.1
4892	IUM83_01283	TKL protein kinase	KAG6618817.1
4893	IUM83_01284	M96 mating-specific protein family	KAG6618867.1
4894	IUM83_01285	M96 mating-specific protein family	KAG6618516.1
4895	IUM83_01286	Zinc finger, RING/FYVE/PHD-type	KAG6618352.1
4896	IUM83_01287	Glutathionyl-hydroquinone reductase YqjG	KAG6618515.1
4897	IUM83_01288	M96 mating-specific protein family	KAG6618512.1
4898	IUM83_01289	hypothetical protein	KAG6618514.1
4899	IUM83_01290	Leucine-rich repeat	KAG6618864.1
