"gene_id","protein_id","description","BP_Term","BP_GO_IDs","MF_Term","MF_GO_IDs","CC_Term","CC_GO_IDs","SP..TM","Prediction"
"IUM83_13915","KAG6594241.1","Transmembrane protein","pseudouridine synthesis; RNA modification; -","GO:0001522; GO:0009451; -","-; RNA binding; pseudouridine synthase activity; isomerase activity; intramolecular transferase activity","-; GO:0003723; GO:0009982; GO:0016853; GO:0016866","-; membrane","-; GO:0016020","No, 10","-"
"IUM83_13919","KAG6594242.1","hypothetical protein IUM83_13919","-","-","-","-","-","-","No, 0","-"
"IUM83_13861","KAG6594243.1","RIB7, arfC","riboflavin biosynthetic process; -","GO:0009231; -","-; 5-amino-6-(5-phosphoribosylamino)uracil reductase activity","-; GO:0008703","-","-","No, 0","-"
"IUM83_13849","KAG6594244.1","hypothetical protein IUM83_01774","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_13924","KAG6594245.1","Pepsin A","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_13848","KAG6594246.1","PSP1 family protein","-","-","-","-","-","-","No, 0","-"
"IUM83_13868","KAG6594247.1","hypothetical protein IUM83_13868","-","-","-","-","-","-","No, 0","-"
"IUM83_13869","KAG6594248.1","TBCC domain-containing protein 1","-","-","-","-","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_13865","KAG6594249.1","transferase caf17 mitochondrial-like","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_13846","KAG6594250.1","putative Rho/Rac guanine nucleotide exchange factor/faciogenital dysplasia protein 3","-","-","metal ion binding","GO:0046872","-","-","No, 0","-"
"IUM83_13847","KAG6594251.1","FYVE zinc finger domain-containing protein","-","-","metal ion binding","GO:0046872","-","-","No, 0","-"
"IUM83_13844","KAG6594252.1","short chain dehydrogenase reductase family oxidoreductase","-","-","oxidoreductase activity","GO:0016491","-","-","No, 0","-"
"IUM83_13845","KAG6594253.1","hypothetical protein IUM83_13845","-","-","-","-","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_13842","KAG6594254.1","FYVE zinc finger domain-containing protein","-","-","metal ion binding","GO:0046872","-","-","No, 0","-"
"IUM83_13843","KAG6594255.1","uracil phosphoribosyltransferase","nucleoside metabolic process","GO:0009116","-","-","-","-","No, 0","-"
"IUM83_13840","KAG6594256.1","kinesin-like protein","microtubule-based movement; -","GO:0007018; -","-; microtubule motor activity; ATP binding; microtubule binding","-; GO:0003777; GO:0005524; GO:0008017","-","-","No, 0","-"
"IUM83_13841","KAG6594257.1","kinesin-like protein","microtubule-based movement; -","GO:0007018; -","-; nucleotide binding; cytoskeletal motor activity; microtubule motor activity; ATP binding; microtubule binding","-; GO:0000166; GO:0003774; GO:0003777; GO:0005524; GO:0008017","-","-","No, 0","-"
"IUM83_13864","KAG6594258.1","Torus domain","-","-","RNA binding; metal ion binding","GO:0003723; GO:0046872","-","-","No, 0","-"
"IUM83_13939","KAG6594259.1","Zinc finger FYVE domain-containing protein 16","-","-","-","-","-","-","Yes, 0","Non-effector"
"IUM83_13954","KAG6594260.1","serine protease family S09X","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_17860","KAG6594261.1","Serine protease family S08A","proteolysis; -","GO:0006508; -","-; peptidase activity","-; GO:0008233","-","-","No, 0","-"
"IUM83_17861","KAG6594262.1","Alpha-1,2-mannosyltransferase","-","-","mannosyltransferase activity","GO:0000030","-","-","No, 9","Non-effector"
"IUM83_17862","KAG6594263.1","L-aspartate oxidase","NAD biosynthetic process; -","GO:0009435; -","-; L-aspartate oxidase activity","-; GO:0008734","-","-","No, 0","-"
"IUM83_17864","KAG6594264.1","subtilisin serine protease","proteolysis; -","GO:0006508; -","-; serine-type endopeptidase activity","-; GO:0004252","-","-","No, 0","-"
"IUM83_17865","KAG6594265.1","hypothetical protein IUM83_17865","-","-","-","-","membrane","GO:0016020","Yes, 1","Cytoplasmic effector"
"IUM83_17866","KAG6594266.1","hypothetical protein IUM83_17866","-","-","-","-","-","-","No, 0","-"
"IUM83_17867","KAG6594267.1","hypothetical protein IUM83_17867","protein phosphorylation; phosphorylation; -","GO:0006468; GO:0016310; -","-; nucleotide binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; kinase activity; transferase activity","-; GO:0000166; GO:0004672; GO:0004674; GO:0005524; GO:0016301; GO:0016740","-","-","No, 0","-"
"IUM83_17848","KAG6594268.1","anaerobic ribonucleoside-triphosphate reductase","DNA replication; -","GO:0006260; -","-; ribonucleoside-triphosphate reductase activity; iron-sulfur cluster binding","-; GO:0008998; GO:0051536","-","-","No, 0","-"
"IUM83_17842","KAG6594269.1","Avirulence (Avh) protein","-","-","-","-","extracellular region","GO:0005576","Yes, 0","Cytoplasmic effector"
"IUM83_17843","KAG6594270.1","hypothetical protein IUM83_17843","-","-","-","-","-","-","No, 0","-"
"IUM83_17840","KAG6594271.1","TD and POZ domain-containing protein 4","-","-","-","-","-","-","No, 0","-"
"IUM83_17841","KAG6594272.1","G-patch domain","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_17846","KAG6594273.1","Cytochrome p450","-","-","monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding","GO:0004497; GO:0005506; GO:0016705; GO:0020037","-","-","No, 0","-"
"IUM83_17844","KAG6594274.1","Secreted protein","DNA recombination; DNA integration; -","GO:0006310; GO:0015074; -","-; DNA binding","-; GO:0003677","-","-","No, 0","-"
"IUM83_17845","KAG6594275.1","Secreted protein","-","-","-","-","-","-","No, 0","-"
"IUM83_17828","KAG6594276.1","transcription factor s","DNA-templated transcription; tRNA 3'-trailer cleavage; -","GO:0006351; GO:0042779; -","-; nucleic acid binding; zinc ion binding","-; GO:0003676; GO:0008270","-","-","No, 0","-"
"IUM83_17820","KAG6594277.1","putative lectin","carbohydrate metabolic process; -","GO:0005975; -","-; cellulose binding","-; GO:0030248","-; extracellular region","-; GO:0005576","Yes, 0","-"
"IUM83_17823","KAG6594278.1","putative transposase","-","-","protein dimerization activity","GO:0046983","-","-","No, 0","-"
"IUM83_17829","KAG6594279.1","SpoU rRNA Methylase family","tRNA methylation; -","GO:0030488; -","-; RNA binding; tRNA (guanine) methyltransferase activity","-; GO:0003723; GO:0016423","-","-","No, 0","-"
"IUM83_17824","KAG6594280.1","putative secreted RxLR effector protein","-","-","calcium channel regulator activity; calcium ion binding; metal ion binding; -","GO:0005246; GO:0005509; GO:0046872; -","-; extracellular region; membrane","-; GO:0005576; GO:0016020","Yes, 0","Cytoplasmic effector"
"IUM83_17826","KAG6594281.1","Protein kinase-like domain","-","-","-","-","-","-","No, 0","-"
"IUM83_17827","KAG6594282.1","elongator complex protein 6","tRNA wobble uridine modification; -","GO:0002098; -","-","-","-; elongator holoenzyme complex","-; GO:0033588","No, 0","-"
"IUM83_17821","KAG6594283.1","putative lectin","carbohydrate metabolic process; -","GO:0005975; -","-; cellulose binding","-; GO:0030248","-; extracellular region","-; GO:0005576","Yes, 0","Apoplastic/cytoplasmic effector"
"IUM83_17822","KAG6594284.1","putative secreted RxLR effector protein","-","-","calcium channel regulator activity; calcium ion binding; metal ion binding; -","GO:0005246; GO:0005509; GO:0046872; -","-; extracellular region; membrane","-; GO:0005576; GO:0016020","Yes, 0","Cytoplasmic effector"
"IUM83_17903","KAG6594285.1","TKL protein kinase","protein phosphorylation; -","GO:0006468; -","-; protein kinase activity; ATP binding","-; GO:0004672; GO:0005524","-","-","No, 0","-"
"IUM83_17901","KAG6594286.1","hypothetical protein IUM83_17901","-","-","-","-","-","-","No, 0","-"
"IUM83_17900","KAG6594287.1","Secreted RxLR effector peptide protein","DNA recombination; DNA integration; -","GO:0006310; GO:0015074; -","-; DNA binding","-; GO:0003677","-","-","No, 0","-"
"IUM83_17825","KAG6594288.1","Cytochrome P450 86A2","-","-","monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding","GO:0004497; GO:0005506; GO:0016705; GO:0020037","-","-","No, 1","Non-effector"
"IUM83_17847","KAG6594289.1","cytochrome P450, putative","-","-","monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding","GO:0004497; GO:0005506; GO:0016705; GO:0020037","-","-","Yes, 0","Non-effector"
"IUM83_17868","KAG6594290.1","AGC/GRK/BARK protein kinase","protein phosphorylation; -","GO:0006468; -","-; protein serine/threonine kinase activity; ATP binding","-; GO:0004674; GO:0005524","-","-","No, 0","-"
"IUM83_17881","KAG6594291.1","L-threonine dehydratase biosynthetic IlvA","-","-","-","-","-","-","No, 0","-"
"IUM83_17869","KAG6594292.1","Short-chain specific acyl-CoA dehydrogenase","-","-","oxidoreductase activity, acting on the CH-CH group of donors; flavin adenine dinucleotide binding","GO:0016627; GO:0050660","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_17837","KAG6594293.1","Equilibrative Nucleoside Transporter (ENT) Family","nucleoside transmembrane transport; -","GO:1901642; -","-; nucleoside transmembrane transporter activity","-; GO:0005337","-; membrane","-; GO:0016020","No, 9","-"
"IUM83_17834","KAG6594294.1","Rough deal protein C-terminal region","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_17830","KAG6594295.1","kinesin family protein","microtubule-based movement; -","GO:0007018; -","-; microtubule motor activity; ATP binding; microtubule binding","-; GO:0003777; GO:0005524; GO:0008017","-","-","No, 0","-"
"IUM83_17813","KAG6594296.1","putative GTP-binding protein","-","-","GTPase activity; GTP binding","GO:0003924; GO:0005525","-","-","No, 0","-"
"IUM83_17899","KAG6594297.1","AGC protein kinase","protein phosphorylation; -","GO:0006468; -","-; protein kinase activity; ATP binding","-; GO:0004672; GO:0005524","-","-","No, 0","-"
"IUM83_17891","KAG6594298.1","GAF domain-like","-","-","-","-","-","-","No, 0","-"
"IUM83_17890","KAG6594299.1","AGC protein kinase","protein phosphorylation; -","GO:0006468; -","-; protein serine/threonine kinase activity; ATP binding","-; GO:0004674; GO:0005524","-","-","Yes, 0","Non-effector"
"IUM83_17893","KAG6594300.1","DnaJ domain","-","-","-","-","-","-","No, 0","-"
"IUM83_17892","KAG6594301.1","Pachytene checkpoint protein 2","-","-","ATP binding; ATP hydrolysis activity","GO:0005524; GO:0016887","-","-","No, 0","-"
"IUM83_17895","KAG6594302.1","hypothetical protein IUM83_17895","-","-","-","-","-","-","No, 0","-"
"IUM83_17894","KAG6594303.1","Cysteine protease family C45","proteolysis; -","GO:0006508; -","-; peptidase activity","-; GO:0008233","-","-","No, 0","-"
"IUM83_17897","KAG6594304.1","hypothetical protein IUM83_17897","-","-","-","-","-","-","No, 2","-"
"IUM83_17896","KAG6594305.1","hypothetical protein IUM83_17896","-","-","-","-","-","-","No, 0","-"
"IUM83_17872","KAG6594306.1","Beta-secretase 2","-","-","-","-","-","-","No, 0","-"
"IUM83_17871","KAG6594307.1","Kazal-like serine protease inhibitor domain and phox-like domain-containing protein","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_17870","KAG6594308.1","putative acyl-CoA dehydrogenase","-","-","oxidoreductase activity, acting on the CH-CH group of donors; flavin adenine dinucleotide binding","GO:0016627; GO:0050660","-","-","No, 0","-"
"IUM83_17877","KAG6594309.1","hypothetical protein IUM83_17877","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17876","KAG6594310.1","Inositol-pentakisphosphate 2-kinase","-","-","ATP binding; inositol pentakisphosphate 2-kinase activity","GO:0005524; GO:0035299","-","-","No, 0","-"
"IUM83_17875","KAG6594311.1","RMD5 family protein","proteasome-mediated ubiquitin-dependent protein catabolic process; -","GO:0043161; -","-; protein binding; ubiquitin protein ligase activity","-; GO:0005515; GO:0061630","-","-","No, 0","-"
"IUM83_17874","KAG6594312.1","SPX domain-containing protein 1","-","-","-","-","-","-","No, 0","-"
"IUM83_17879","KAG6594313.1","AGC protein kinase","regulation of transcription by RNA polymerase II; regulation of cell cycle; -","GO:0006357; GO:0051726; -","-","-","-; nucleus","-; GO:0005634","No, 0","-"
"IUM83_17878","KAG6594314.1","RxLR effector candidate protein","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_17855","KAG6594315.1","Arsenical-resistance protein","-","-","-","-","plasma membrane","GO:0005886","No, 3","-"
"IUM83_17857","KAG6594316.1","cell 5A endo-1,4-betaglucanase","organic substance metabolic process; -","GO:0071704; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","No, 1","Non-effector"
"IUM83_17856","KAG6594317.1","Transmembrane channel protein 7","-","-","-","-","plasma membrane; membrane","GO:0005886; GO:0016020","No, 3","-"
"IUM83_17851","KAG6594318.1","Beta-glucosidase 32","carbohydrate metabolic process; -","GO:0005975; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","Yes, 0","Non-effector"
"IUM83_17850","KAG6594319.1","Isoamyl acetate-hydrolyzing esterase 1","-","-","protein binding","GO:0005515","-","-","No, 4","-"
"IUM83_17853","KAG6594320.1","P-loop containing nucleoside triphosphate hydrolase","-","-","-","-","-","-","No, 0","-"
"IUM83_17852","KAG6594321.1","NEDD8-conjugating enzyme Ubc12","microtubule-based process; -","GO:0007017; -","-","-","-; dynein complex","-; GO:0030286","No, 2","-"
"IUM83_17859","KAG6594322.1","hypothetical protein IUM83_17859","-","-","-","-","-","-","No, 0","-"
"IUM83_17858","KAG6594323.1","cell 5A endo-1,4-betaglucanase","organic substance metabolic process; -","GO:0071704; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","No, 1","Non-effector"
"IUM83_17811","KAG6594324.1","S-adenosyl-L-methionine-dependent methyltransferase","methylation; -","GO:0032259; -","-; methyltransferase activity","-; GO:0008168","-","-","No, 0","-"
"IUM83_17838","KAG6594325.1","Phox homologous domain","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_17836","KAG6594326.1","Phox homologous domain","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_17835","KAG6594327.1","putative secreted RxLR effector protein","-","-","-","-","extracellular region","GO:0005576","Yes, 0","-"
"IUM83_17833","KAG6594328.1","Heat shock cognate protein 1","-","-","ATP binding; ATP hydrolysis activity","GO:0005524; GO:0016887","-","-","No, 1","-"
"IUM83_17831","KAG6594329.1","ATP-dependent DNA helicase Q-like 1","DNA recombination; DNA duplex unwinding; -","GO:0006310; GO:0032508; -","-; nucleotide binding; nucleic acid binding; DNA helicase activity; helicase activity; ATP binding; hydrolase activity; obsolete ATP hydrolysis activity","-; GO:0000166; GO:0003676; GO:0003678; GO:0004386; GO:0005524; GO:0016787; GO:0140603","-; nucleus","-; GO:0005634","No, 0","-"
"IUM83_17832","KAG6594330.1","ATP-dependent DNA helicase Q-like 1","DNA recombination; -","GO:0006310; -","-; nucleic acid binding; helicase activity; ATP binding","-; GO:0003676; GO:0004386; GO:0005524","-","-","No, 0","-"
"IUM83_17810","KAG6594331.1","hypothetical protein IUM83_17810, partial","-","-","-","-","-","-","No, 0","-"
"IUM83_17812","KAG6594332.1","Cell surface glycoprotein STIM, contains SAM domain","-","-","calcium channel regulator activity; calcium ion binding; protein binding","GO:0005246; GO:0005509; GO:0005515","-","-","Yes, 1","Non-effector"
"IUM83_17815","KAG6594333.1","Zinc (Zn2)-Iron (Fe2) Permease (ZIP) Family","metal ion transport; transmembrane transport; -","GO:0030001; GO:0055085; -","-; metal ion transmembrane transporter activity","-; GO:0046873","-; membrane","-; GO:0016020","No, 8","-"
"IUM83_17814","KAG6594334.1","Reticulocyte-binding protein 2 a","-","-","-","-","-","-","No, 0","-"
"IUM83_17817","KAG6594335.1","Zinc (Zn2)-Iron (Fe2) Permease (ZIP) Family","metal ion transport; transmembrane transport; -","GO:0030001; GO:0055085; -","-; metal ion transmembrane transporter activity","-; GO:0046873","-; membrane","-; GO:0016020","No, 1","-"
"IUM83_17819","KAG6594336.1","putative lectin","carbohydrate metabolic process; -","GO:0005975; -","-; cellulose binding","-; GO:0030248","-; extracellular region","-; GO:0005576","Yes, 0","-"
"IUM83_17818","KAG6594337.1","Zinc (Zn2)-Iron (Fe2) Permease (ZIP) Family","metal ion transport; transmembrane transport; -","GO:0030001; GO:0055085; -","-; metal ion transmembrane transporter activity","-; GO:0046873","-; membrane","-; GO:0016020","No, 4","-"
"IUM83_17839","KAG6594338.1","RFT1 protein","dolichol-linked oligosaccharide biosynthetic process; -","GO:0006488; -","-","-","-; membrane","-; GO:0016020","No, 11","-"
"IUM83_17854","KAG6594339.1","TatD related DNase","-","-","hydrolase activity, acting on ester bonds","GO:0016788","-","-","No, 0","-"
"IUM83_17849","KAG6594340.1","ABC transporter","-","-","ATP binding","GO:0005524","-","-","No, 0","-"
"IUM83_17883","KAG6594341.1","Cytochrome p450","-","-","monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding","GO:0004497; GO:0005506; GO:0016705; GO:0020037","-","-","No, 0","-"
"IUM83_17863","KAG6594342.1","Regulator of chromosome condensation (RCC1) repeat","-","-","-","-","-","-","Yes, 0","Apoplastic effector"
"IUM83_17898","KAG6594343.1","hypothetical protein IUM83_17898","-","-","-","-","-","-","No, 0","-"
"IUM83_17882","KAG6594344.1","E3 ubiquitin-protein ligase UPL1","-","-","-","-","-","-","No, 0","-"
"IUM83_17905","KAG6594345.1","hypothetical protein IUM83_17905","-","-","-","-","-","-","No, 0","-"
"IUM83_17904","KAG6594346.1","hypothetical protein IUM83_17904","-","-","-","-","-","-","No, 0","-"
"IUM83_17902","KAG6594347.1","putative transmembrane protein","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_17902","KAG6594348.1","putative histone tail methylase containing SET domain","methylation; -","GO:0032259; -","-; methyltransferase activity; transferase activity","-; GO:0008168; GO:0016740","-; ribosome; membrane","-; GO:0005840; GO:0016020","No, 0","-"
"IUM83_17902","KAG6594349.1","putative histone tail methylase containing SET domain","methylation; -","GO:0032259; -","-; methyltransferase activity; transferase activity","-; GO:0008168; GO:0016740","-; ribosome","-; GO:0005840","No, 0","-"
"IUM83_17873","KAG6594350.1","hypothetical protein IUM83_17873","-","-","-","-","-","-","No, 0","-"
"IUM83_17816","KAG6594351.1","Zinc (Zn2)-Iron (Fe2) Permease (ZIP) Family","metal ion transport; transmembrane transport; -","GO:0030001; GO:0055085; -","-; metal ion transmembrane transporter activity","-; GO:0046873","-; membrane","-; GO:0016020","No, 8","-"
"IUM83_17888","KAG6594352.1","40S ribosomal protein S17","-","-","-","-","ribosome","GO:0005840","No, 0","-"
"IUM83_17889","KAG6594353.1","Rb C-terminal domain","regulation of transcription by RNA polymerase II; regulation of cell cycle; -","GO:0006357; GO:0051726; -","-","-","-; nucleus","-; GO:0005634","No, 0","-"
"IUM83_17886","KAG6594354.1","E3 ubiquitin-protein ligase UPL1","-","-","-","-","-","-","No, 0","-"
"IUM83_17887","KAG6594355.1","L-threonine dehydratase biosynthetic IlvA","-","-","-","-","-","-","No, 0","-"
"IUM83_17884","KAG6594356.1","hypothetical protein IUM83_17884","-","-","-","-","-","-","Yes, 0","-"
"IUM83_17885","KAG6594357.1","Sulfate Permease (SulP) Family","sulfate transport; transmembrane transport; -","GO:0008272; GO:0055085; -","-; secondary active sulfate transmembrane transporter activity","-; GO:0008271","-; membrane","-; GO:0016020","No, 9","-"
"IUM83_17880","KAG6594358.1","L-threonine dehydratase biosynthetic IlvA","-","-","-","-","-","-","No, 0","-"
"IUM83_19417","KAG6595721.1","ABC Superfamily","-","-","-","-","-","-","No, 0","-"
"IUM83_19416","KAG6595722.1","LMBR1 domain-containing protein 2","-","-","-","-","membrane","GO:0016020","No, 8","-"
"IUM83_19415","KAG6595723.1","hypothetical protein IUM83_19415","-","-","-","-","-","-","No, 0","-"
"IUM83_19414","KAG6595724.1","Nitrogen Permease regulator of amino acid transport activity 3","negative regulation of TOR signaling; cellular response to amino acid starvation","GO:0032007; GO:0034198","-","-","-","-","No, 0","-"
"IUM83_19414","KAG6595725.1","nitrogen permease regulator 3-like protein","negative regulation of TOR signaling; cellular response to amino acid starvation","GO:0032007; GO:0034198","-","-","-","-","No, 0","-"
"IUM83_19413","KAG6595726.1","hypothetical protein IUM83_19413","protein phosphorylation; -","GO:0006468; -","-; protein kinase activity; ATP binding","-; GO:0004672; GO:0005524","-; membrane","-; GO:0016020","Yes, 0","Non-effector"
"IUM83_19412","KAG6595727.1","Methyltransferase domain","methylation; -","GO:0032259; -","-; methyltransferase activity; transferase activity","-; GO:0008168; GO:0016740","-","-","No, 0","-"
"IUM83_19411","KAG6595728.1","Ubiquitin carboxyl-terminal hydrolase","protein deubiquitination; -","GO:0016579; -","-; cysteine-type deubiquitinase activity","-; GO:0004843","-","-","No, 0","-"
"IUM83_19410","KAG6595729.1","WD domain G-beta repeat domain-containing protein","-","-","protein binding","GO:0005515","-","-","No, 5","-"
"IUM83_19419","KAG6595730.1","M96 mating-specific protein family","-","-","-","-","-","-","No, 0","-"
"IUM83_19418","KAG6595731.1","ABC Superfamily","-","-","-","-","-","-","No, 0","-"
"IUM83_19423","KAG6595732.1","ATP-binding cassette (ABC) Superfamily","-","-","ATP binding","GO:0005524","-","-","No, 0","-"
"IUM83_19390","KAG6595733.1","putative secreted RxLR effector protein","-","-","-","-","extracellular region; host cell","GO:0005576; GO:0043657","Yes, 0","-"
"IUM83_19392","KAG6595734.1","putative 3,4-dihydroxy-2-butanone kinase","glycerol metabolic process; cysteine biosynthetic process from serine; phosphorylation; -","GO:0006071; GO:0006535; GO:0016310; -","-; nucleotide binding; glycerone kinase activity; ATP binding; kinase activity; transferase activity","-; GO:0000166; GO:0004371; GO:0005524; GO:0016301; GO:0016740","-; membrane","-; GO:0016020","Yes, 1","Apoplastic effector"
"IUM83_19394","KAG6595735.1","Serine protease V8","-","-","RNA binding; rRNA binding","GO:0003723; GO:0019843","-","-","Yes, 0","-"
"IUM83_19396","KAG6595736.1","H/ACA ribonucleoprotein complex subunit 4","pseudouridine synthesis; RNA processing; -","GO:0001522; GO:0006396; -","-; RNA binding; pseudouridine synthase activity","-; GO:0003723; GO:0009982","-","-","No, 0","-"
"IUM83_19397","KAG6595737.1","hypothetical protein IUM83_19397","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_19399","KAG6595738.1","Cytochrome P450","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_19399","KAG6595739.1","Cytochrome P450","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_19403","KAG6595740.1","hypothetical protein IUM83_19403","-","-","-","-","-","-","No, 0","-"
"IUM83_19404","KAG6595741.1","small cysteine-rich secretory protein SCR99","DNA integration; -","GO:0015074; -","-; nucleic acid binding; zinc ion binding","-; GO:0003676; GO:0008270","-","-","No, 0","-"
"IUM83_19405","KAG6595742.1","stromal membrane-associated protein 2-like isoform x1","-","-","GTPase activator activity","GO:0005096","-","-","No, 0","-"
"IUM83_19406","KAG6595743.1","putative RxLR effector","-","-","-","-","-","-","Yes, 0","-"
"IUM83_19407","KAG6595744.1","putative ubiquitin-specific protease","protein deubiquitination; -","GO:0016579; -","-; cysteine-type deubiquitinase activity","-; GO:0004843","-","-","No, 0","-"
"IUM83_19400","KAG6595745.1","Cysteine synthase","cysteine biosynthetic process from serine","GO:0006535","-","-","-","-","No, 0","-"
"IUM83_19402","KAG6595746.1","Guanine nucleotide-binding protein subunit beta protein","-","-","calcium ion binding; protein binding","GO:0005509; GO:0005515","-","-","No, 0","-"
"IUM83_19409","KAG6595747.1","Trypsin-like peptidase domain","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_19428","KAG6595748.1","M96 mating-specific protein family","-","-","-","-","-","-","No, 0","-"
"IUM83_19426","KAG6595749.1","Integrase, catalytic core protein","-","-","nucleic acid binding; zinc ion binding; oxidoreductase activity","GO:0003676; GO:0008270; GO:0016491","-","-","No, 0","-"
"IUM83_19427","KAG6595750.1","Pleiotropic drug resistance protein 3","transmembrane transport; -","GO:0055085; -","-; nucleotide binding; ATP binding; ABC-type transporter activity","-; GO:0000166; GO:0005524; GO:0140359","-; membrane","-; GO:0016020","Yes, 1","-"
"IUM83_19424","KAG6595751.1","ATP-binding Cassette (ABC) Superfamily","-","-","ATP binding; ABC-type transporter activity; -","GO:0005524; GO:0140359; -","-; membrane","-; GO:0016020","No, 12","-"
"IUM83_19425","KAG6595752.1","Nitroreductase family","-","-","oxidoreductase activity","GO:0016491","-","-","No, 0","-"
"IUM83_19422","KAG6595753.1","hypothetical protein IUM83_19422","-","-","-","-","-","-","No, 0","-"
"IUM83_19420","KAG6595754.1","M96 mating-specific protein family","-","-","-","-","-","-","No, 0","-"
"IUM83_19421","KAG6595755.1","ABC Superfamily","-","-","-","-","-","-","No, 0","-"
"IUM83_19386","KAG6595756.1","60S ribosomal protein","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome","-; GO:0005840","No, 0","-"
"IUM83_19385","KAG6595757.1","Serine/threonine-protein kinase","protein phosphorylation; -","GO:0006468; -","-; protein kinase activity; ATP binding","-; GO:0004672; GO:0005524","-","-","No, 0","-"
"IUM83_19384","KAG6595758.1","Myosin-52","-","-","cytoskeletal motor activity; protein binding; ATP binding; -","GO:0003774; GO:0005515; GO:0005524; -","-; myosin complex","-; GO:0016459","No, 0","-"
"IUM83_19389","KAG6595759.1","Pleiotropic drug resistance protein","-","-","-","-","-","-","No, 0","-"
"IUM83_19388","KAG6595760.1","putative secreted RxLR effector protein","-","-","-","-","extracellular region; host cell","GO:0005576; GO:0043657","Yes, 0","Non-effector"
"IUM83_19408","KAG6595761.1","putative alpha mannosyltransferase","protein glycosylation; -","GO:0006486; -","-; fucosyltransferase activity","-; GO:0008417","-; membrane","-; GO:0016020","No, 0","-"
"IUM83_19408","KAG6595762.1","putative alpha mannosyltransferase","protein glycosylation; -","GO:0006486; -","-; fucosyltransferase activity","-; GO:0008417","-; membrane","-; GO:0016020","No, 0","Non-effector"
"IUM83_19398","KAG6595763.1","Cysteine synthase","cysteine biosynthetic process from serine","GO:0006535","-","-","-","-","No, 0","-"
"IUM83_19387","KAG6595764.1","leukocyte receptor cluster member 1","-","-","-","-","-","-","No, 0","-"
"IUM83_19391","KAG6595765.1","putative 3,4-dihydroxy-2-butanone kinase","glycerol metabolic process; -","GO:0006071; -","-; glycerone kinase activity; ATP binding","-; GO:0004371; GO:0005524","-","-","No, 0","-"
"IUM83_19393","KAG6595766.1","Transmembrane protein","-","-","-","-","membrane","GO:0016020","No, 13","-"
"IUM83_19395","KAG6595767.1","U3 small nucleolar ribonucleoprotein IMP3","-","-","rRNA binding","GO:0019843","-","-","No, 0","-"
"IUM83_19401","KAG6595768.1","Cysteine synthase","cysteine biosynthetic process from serine","GO:0006535","-","-","-","-","No, 0","-"
"IUM83_19986","KAG6595769.1","Proline rich antigen 2","-","-","-","-","-","-","No, 0","-"
"IUM83_19985","KAG6595770.1","putative thioredoxin","glycerol ether metabolic process; phosphorylation; -","GO:0006662; GO:0016310; -","-; protein-disulfide reductase activity; kinase activity","-; GO:0015035; GO:0016301","-","-","No, 0","-"
"IUM83_19984","KAG6595771.1","Fibronectin type III domain","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_18236","KAG6595772.1","EF-hand domain pair","-","-","calcium ion binding","GO:0005509","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_18237","KAG6595773.1","MaoC-like dehydratase","-","-","-","-","-","-","No, 0","-"
"IUM83_18230","KAG6595774.1","Necrosis inducing-like protein NPP1 type","-","-","-","-","extracellular region","GO:0005576","Yes, 0","Cytoplasmic effector"
